id,name,total_rooms,min_price,max_price,city,address,stars
0,Bag Resort,80,2833.79RUB,7556.76RUB,Port Ronaldside,"26606 Deborah Spurs Suite 204
North Briannatown, TN 56494",***
1,Various Tell Hotel,39,16.36GBR,43.62GBR,West Emily,"12401 Ashley Place Apt. 578
West Stephen, MT 33667",****
2,Guy Residence,15,2664.54RUB,7105.45RUB,Joneshaven,"39501 Kevin Fords
Robertport, NH 64759",****
3,Campaign Social Residence,25,18.36USD,48.95USD,Lake Michaelmouth,"468 Wyatt Ville Apt. 359
New Kyle, KY 25455",*****
4,Training Official Beach Resort,82,25.58GBR,68.22GBR,North Tylerbury,"60971 Griffith Wells Apt. 565
North Cassandraview, IN 08003",****
5,Author Pressure Yet Hotel,59,36.3EUR,96.81EUR,Michaelville,"5475 Reynolds Pines Apt. 233
South Kelly, OK 54087",*****
6,Serve Specific Hotel,79,25.5GBR,68.0GBR,Melissafurt,"48761 Kathryn Landing Apt. 262
Danielleside, ID 66905",*****
7,Student Hundred Clear Residence,81,11.17GBR,29.79GBR,Maldonadoburgh,"6818 Maureen Ville Apt. 476
East Patrickview, WI 37026",***
8,Important Hotel,81,3197.55RUB,8526.79RUB,Haneytown,"0653 Vaughan Point
Howardborough, PR 63003",*****
9,Term Western Beach Resort,67,11.43GBR,30.47GBR,Wadehaven,"45963 Sandra Hill
Stephanieborough, GA 08345",***
10,Staff Surface Resort,69,20.86EUR,55.62EUR,West Nancyberg,"222 Arias Plains Apt. 609
Port Cory, WV 63271",****
11,Already Residence,62,24.48USD,65.29USD,East Andrewshire,"857 Omar Garden
Lake Jessica, GA 05623",***
12,Store Land Residence,16,15.41EUR,41.09EUR,Nelsonview,"3945 Morton Trail
East Misty, LA 11511",****
13,Event Name Hotel,53,14.27USD,38.05USD,Saraton,"6792 Perez Glen
Lake Juliashire, KY 01793",***
14,Include Hotel,40,14.36EUR,38.29EUR,Port Clarence,"26178 Cobb Springs Suite 211
Rodneyland, DC 72231",***
15,Tonight Race Resort,48,4452.61CNY,11873.64CNY,Lake Cherylstad,"5369 Carr Island
East David, NC 86310",****
16,Face Little Residence,77,5256.99CNY,14018.65CNY,Lake Jessica,"8053 Bethany Lane
Emilyside, GA 69684",****
17,Shoulder Scene Resort,19,3501.61RUB,9337.63RUB,East Tyler,"663 Craig Tunnel Suite 533
East Jason, ME 05129",***
18,Middle Instead Beach Resort,79,21.06GBR,56.17GBR,North Scott,"02215 Burton Plains
Emilyville, DE 74254",****
19,Sort Know Hotel,81,24.32GBR,64.85GBR,Staceyberg,"162 Rivera Lodge Suite 224
West Rachel, WY 93444",*****
20,Pull Company Beach Resort,49,6169.68CNY,16452.49CNY,Woodmouth,"0916 Patricia Hill
Matthewfort, NJ 33036",***
21,Court Beach Resort,38,36.8EUR,98.15EUR,Richardsonland,"07306 Hogan Coves
Davidton, KS 88410",****
22,Skill Thousand City Beach Resort,21,4129.19CNY,11011.17CNY,Hallhaven,"9166 Nicole Inlet
New Cynthiastad, NJ 06509",****
23,If Increase Threat Hotel,78,2930.65CNY,7815.06CNY,Lake Kaitlynside,"22020 Hall Meadows Suite 109
Crystalside, VA 95478",****
24,Speech What Hotel,17,3721.55CNY,9924.12CNY,Port Nathanielmouth,"8556 Christopher Walk
Boyerborough, PA 25475",****
25,Individual Time Hotel,38,2861.43CNY,7630.47CNY,West Matthewfurt,"9453 Jennifer Grove
New Deborah, DE 32047",****
26,Form Decision Machine Hotel,72,5243.55CNY,13982.8CNY,Lake Tylerhaven,"055 Johnson Isle
Phillipsbury, WA 95023",****
27,Water Item Beach Resort,47,17.24EUR,45.97EUR,Lake Marissa,"34802 Esparza Manor Apt. 081
Serranobury, NJ 32966",***
28,Policy Her Role Resort,74,18.27EUR,48.73EUR,East Holly,"68396 Jones Knoll Apt. 467
West James, IL 97500",***
29,Total Color Resort,23,5591.14CNY,14909.7CNY,South Stacy,"764 Lee Lodge
East Noahview, SC 78447",***
30,Home Bit Hotel,62,15.74EUR,41.98EUR,Johnsonbury,"7913 Schmidt Meadows
Rodriguezshire, CT 68725",****
31,Recognize Civil Resort,56,28.77USD,76.71USD,Jonathanstad,"2871 Amanda Meadows Apt. 107
New Anthony, KS 42648",***
32,Culture By Residence,29,3779.98CNY,10079.94CNY,South Annetteberg,"203 Mary Cape
Kimberlymouth, UT 69900",***
33,Near Hotel,23,5956.66CNY,15884.42CNY,Lake Alexandra,"126 Jessica Square
Ambermouth, AL 89562",****
34,Stock Hotel,77,23.0EUR,61.32EUR,Michaelside,"5682 Denise Shoals Suite 467
Port Samanthaville, SD 38321",****
35,Build Eat Drive Resort,79,38.69USD,103.18USD,Jefffort,"0253 Gill Dam
New Anthony, ID 55836",***
36,Senior Guess Beach Resort,50,3181.39CNY,8483.71CNY,Gateston,"52861 Carter Pike Suite 676
Greenmouth, NM 17940",****
37,Teacher Door Bag Residence,50,3649.51RUB,9732.04RUB,New Jennifer,"Unit 0604 Box 1039
DPO AP 62348",*****
38,Other Collection Hotel,35,20.85GBR,55.6GBR,East Paul,"1892 Casey Prairie
Cummingston, CA 61636",*****
39,Create Lead Quickly Residence,62,10.34GBR,27.58GBR,South Geraldside,"693 Cochran Ways Suite 565
Bryanville, NH 89061",*****
40,Join Boy Hold Resort,60,22.48EUR,59.96EUR,West Lorihaven,"45688 William Field
Derrickmouth, VT 02537",***
41,Fall Medical Receive Hotel,50,18.35GBR,48.92GBR,New Travis,"2851 Rodriguez Vista Apt. 721
South Sarahberg, AR 14469",*****
42,Medical Residence,22,13.58EUR,36.21EUR,North Dylan,"000 Elliott Pine
Jacksonton, PA 74409",***
43,Trade Beach Resort,46,4421.0CNY,11789.34CNY,Christopherbury,"9695 Jacqueline Circle Apt. 370
South Victoria, AL 06720",****
44,Know Court Improve Resort,36,34.85EUR,92.93EUR,Kennedyhaven,"2103 Chang Islands Suite 151
Lisastad, PW 63177",***
45,Man Size Hotel,29,31.1EUR,82.93EUR,West Paulaview,"10398 Poole Greens
South Heatherfort, ND 37567",***
46,Five Resort,28,22.57EUR,60.18EUR,Aprilfurt,"039 Hudson Bypass Suite 130
New Larry, GU 05323",****
47,Look Hotel,63,39.69USD,105.85USD,Georgeton,"46148 Novak Corner
Robinhaven, IN 43919",***
48,They Might Resort,53,2448.95RUB,6530.54RUB,Acostahaven,"824 Morgan Stream Suite 181
Lake Kylefort, FL 20218",***
49,End Party Hotel,15,2670.07RUB,7120.18RUB,New Michelle,"0919 Berger Meadows Apt. 829
Allenmouth, GU 50873",***
50,Forget Hotel,82,16.17GBR,43.11GBR,West Amy,"3179 Rice Overpass Suite 347
Robertbury, WY 35702",***
51,Morning Election None Hotel,40,18.27EUR,48.72EUR,New Robert,"61574 Escobar Forges Suite 774
New Michael, MS 32491",*****
52,Station His Beach Resort,56,18.84USD,50.25USD,Michellefurt,"96543 Jared Fords
North Dawn, AS 96376",****
53,Where Like Hotel,30,5730.45CNY,15281.21CNY,Gainesbury,"71961 Rogers Roads
Jacquelinetown, NJ 05850",***
54,Mention Hotel,46,10.15GBR,27.07GBR,New Dwayneland,"5022 Hernandez Road Suite 517
Lake Theresa, GA 54772",***
55,President Way Hotel,40,22.55USD,60.13USD,Emilyside,"87118 Clark Vista
West Benjamin, KY 68605",****
56,Morning Beach Resort,40,19.52GBR,52.05GBR,Alisonhaven,"202 Joy Parkway
North Laura, MT 93897",***
57,Many Site Hotel,57,16.56EUR,44.15EUR,Port Colinshire,"104 Wright Motorway Apt. 382
New Desiree, SC 27924",***
58,Field Lose Dog Residence,73,6439.79CNY,17172.78CNY,North Steven,"6626 Swanson Plaza Apt. 548
West Betty, PA 06660",****
59,Image Full Weight Beach Resort,41,2171.41RUB,5790.43RUB,Lozanoborough,"89836 John Inlet Apt. 763
Danaside, WA 86564",****
